method,parameter,estimate,se,time,sim,true,pct_diff,beta0_true,beta1_true
secr_glm,D.(Intercept),0.11763070825635381,0.09485470139693572,46.659999999999854,1,0.22288671568025306,-47.22399318535274,0.22288671568025306,0.390321074356325
secr_glm,D.x.s,0.4177612779408346,0.10060210657019034,46.659999999999854,1,0.390321074356325,7.0301619326501905,0.22288671568025306,0.390321074356325
secr_joint,D.(Intercept),0.3036145920516652,0.10586964194786205,75.35999999999967,1,0.4240109174128329,-28.394628632626777,0.4240109174128329,0.31441082153469324
secr_joint,D.x.s,0.3174502441432694,0.1131292589954837,75.35999999999967,1,0.31441082153469324,0.966704197311086,0.4240109174128329,0.31441082153469324
secr_joint,g0,0.88217358195948,1.0422874687555348,75.35999999999967,1,0.8,10.271697744934999,0.4240109174128329,0.31441082153469324
secr_joint,sigma.(Intercept),4.092130119675554,0.0706530288758297,75.35999999999967,1,4.05,1.0402498685322008,0.4240109174128329,0.31441082153469324
secr_joint,sigma.x.s,-0.2206726399947532,0.049641467046352486,75.35999999999967,1,-0.23,-4.0553739153247,0.4240109174128329,0.31441082153469324
secr_glm,g0,0.8829273436452162,1.0486166506176384,44.399999999999636,1,0.8,10.365917955652018,0.4240109174128329,0.31441082153469324
secr_glm,sigma.(Intercept),4.0905118198449735,0.0705897049655181,44.399999999999636,1,4.05,1.0002918480240408,0.4240109174128329,0.31441082153469324
secr_glm,sigma.x.s,-0.22101156976625191,0.049616574746543796,44.399999999999636,1,-0.23,-3.908013145107868,0.4240109174128329,0.31441082153469324
secr_glm,D.(Intercept),0.30524337785230327,0.08278681555504477,44.399999999999636,1,0.4240109174128329,-28.010490929150567,0.4240109174128329,0.31441082153469324
secr_glm,D.x.s,0.31784107129021527,0.08782588299870837,44.399999999999636,1,0.31441082153469324,1.0910088077688902,0.4240109174128329,0.31441082153469324
secr_joint,D.(Intercept),0.351054502065333,0.10608085654524886,88.53999999999996,1,0.5623487114526567,-37.573520679279135,0.5623487114526567,0.8078382531180978
secr_joint,D.x.s,0.6528203449709474,0.11424506005708647,88.53999999999996,1,0.8078382531180978,-19.189226005182537,0.5623487114526567,0.8078382531180978
secr_joint,g0,0.979121685464865,5.822193379071088,88.53999999999996,1,0.8,22.39021068310812,0.5623487114526567,0.8078382531180978
secr_joint,sigma.(Intercept),4.064525344840338,0.06882831078978777,88.53999999999996,1,4.05,0.3586504898848989,0.5623487114526567,0.8078382531180978
secr_joint,sigma.x.s,-0.24187501254869984,0.054330343059459975,88.53999999999996,1,-0.23,5.163048934217315,0.5623487114526567,0.8078382531180978
secr_glm,g0,0.979646465070408,5.973302349210222,53.289999999999964,1,0.8,22.455808133800993,0.5623487114526567,0.8078382531180978
secr_glm,sigma.(Intercept),4.063122469570396,0.06864529914280201,53.289999999999964,1,4.05,0.3240115943307649,0.5623487114526567,0.8078382531180978
secr_glm,sigma.x.s,-0.24157995511018943,0.05405833968908352,53.289999999999964,1,-0.23,5.0347630913867025,0.5623487114526567,0.8078382531180978
secr_glm,D.(Intercept),0.3525396709337251,0.08173188351222876,53.289999999999964,1,0.5623487114526567,-37.30941962629448,0.5623487114526567,0.8078382531180978
secr_glm,D.x.s,0.6523955917916036,0.08562957409144598,53.289999999999964,1,0.8078382531180978,-19.241804993328294,0.5623487114526567,0.8078382531180978
secr_joint,D.(Intercept),0.530070321524867,0.10105256784058685,67.64999999999964,1,0.5509302149332942,-3.7863041167478686,0.5509302149332942,0.6118724000174552
secr_joint,D.x.s,0.5063477146782203,0.10776487038900293,67.64999999999964,1,0.6118724000174552,-17.24619141772445,0.5509302149332942,0.6118724000174552
secr_joint,g0,0.9155444547482163,1.5783800111119093,67.64999999999964,1,0.8,14.443056843527035,0.5509302149332942,0.6118724000174552
secr_joint,sigma.(Intercept),4.005862059443297,0.06567637099234112,67.64999999999964,1,4.05,-1.0898256927580947,0.5509302149332942,0.6118724000174552
secr_joint,sigma.x.s,-0.2545145884329722,0.04718636995996623,67.64999999999964,1,-0.23,10.658516709987909,0.5509302149332942,0.6118724000174552
secr_glm,g0,0.9152948181904111,1.5739498586148426,53.039999999999964,1,0.8,14.411852273801387,0.5509302149332942,0.6118724000174552
secr_glm,sigma.(Intercept),4.00614668867408,0.06571654312634934,53.039999999999964,1,4.05,-1.0827978105165452,0.5509302149332942,0.6118724000174552
secr_glm,sigma.x.s,-0.2543771821599576,0.047195309643942106,53.039999999999964,1,-0.23,10.598774852155465,0.5509302149332942,0.6118724000174552
secr_glm,D.(Intercept),0.5298638532636749,0.07791652359961766,53.039999999999964,1,0.5509302149332942,-3.8237804169390066,0.5509302149332942,0.6118724000174552
secr_glm,D.x.s,0.5061748812240188,0.08251026185522424,53.039999999999964,1,0.6118724000174552,-17.27443806754826,0.5509302149332942,0.6118724000174552
secr_joint,D.(Intercept),2.0688821078446438,0.050527104260183,81.32999999999993,1,2.0086639204921393,2.9979224865925085,2.0086639204921393,0.7054169592214748
