fit_method,method,parameter,estimate,se,sim,true,pct_diff
acre,acre,sigma,79.11012632212787,2.4261955187941573,42,80,-1.1123420973401643
acre,acre,D,4.9615676695456115,0.24749367149020304,42,5,-0.7686466090877708
secr,secr,D,5.275142215077404,0.2659556761290051,43,5,5.502844301548073
secr,secr,g0,0.7970234698590192,0.0386870478010983,43,0.8,-0.37206626762260886
secr,secr,sigma,75.82413903669173,2.4313035458454664,43,80,-5.219826204135334
acre,acre,g0,0.797020010322226,0.03867095100339833,43,0.8,-0.3724987097217525
acre,acre,sigma,75.82451843563156,2.4283805984676246,43,80,-5.219351955460549
acre,acre,D,5.275124003395716,0.2656731279830308,43,5,5.502480067914313
secr,secr,D,5.064527694390439,0.2564030665138715,44,5,1.2905538878087874
secr,secr,g0,0.8040145935853922,0.034840398280802494,44,0.8,0.5018241981740168
secr,secr,sigma,79.96336875052164,2.5786433621425506,44,80,-0.04578906184795173
acre,acre,g0,0.8040095100584362,0.0348288909408456,44,0.8,0.5011887573045243
acre,acre,sigma,79.96392606040078,2.575533160978184,44,80,-0.04509242449902473
acre,acre,D,5.064502558302463,0.25609924157117414,44,5,1.2900511660492597
secr,secr,D,5.0137312626826205,0.26228932223911616,45,5,0.27462525365240964
secr,secr,g0,0.7553684569993507,0.03471030554671283,45,0.8,-5.578942875081164
secr,secr,sigma,80.63917766856677,2.690209073189251,45,80,0.7989720857084669
acre,acre,g0,0.7553633475184878,0.03470089487791764,45,0.8,-5.579581560189034
acre,acre,sigma,80.63978756984332,2.6870412682979805,45,80,0.7997344623041515
acre,acre,D,5.01370387565135,0.26196750107267625,45,5,0.27407751302700234
secr,secr,D,5.306854195167477,0.2772177162568321,46,5,6.137083903349545
secr,secr,g0,0.7334124461073489,0.035137239325944626,46,0.8,-8.323444236581393
secr,secr,sigma,80.23135966621291,2.712883914581171,46,80,0.28919958276613755
acre,acre,g0,0.7334081504016525,0.03512678910296829,46,0.8,-8.32398119979344
acre,acre,sigma,80.23187951321832,2.709684401560494,46,80,0.2898493915228961
acre,acre,D,5.306830587202244,0.2768790112134754,46,5,6.1366117440448775
secr,secr,D,5.151581320734186,0.2636710469503237,47,5,3.0316264146837213
secr,secr,g0,0.7826261619111212,0.03529035966737334,47,0.8,-2.171729761109853
secr,secr,sigma,78.00361743247699,2.5748900446749987,47,80,-2.4954782094037675
acre,acre,g0,0.7826207730091665,0.035277528551551064,47,0.8,-2.172403373854187
acre,acre,sigma,78.0041885051532,2.5716203832682387,47,80,-2.4947643685585064
acre,acre,D,5.151552483394694,0.2633563155055398,47,5,3.0310496678938748
secr,secr,D,5.333307017613737,0.2620511865532521,48,5,6.666140352274734
secr,secr,g0,0.8197522412105895,0.03482749783083032,48,0.8,2.469030151323687
secr,secr,sigma,78.54975950386613,2.419380434034703,48,80,-1.812800620167341
acre,acre,g0,0.8197481863278707,0.034814402825089664,48,0.8,2.4685232909838346
acre,acre,sigma,78.55018691511397,2.416575814799702,48,80,-1.8122663561075392
acre,acre,D,5.333287640567587,0.26176477227267414,48,5,6.665752811351737
secr,secr,D,5.181436323836195,0.2650898689914818,49,5,3.628726476723898
secr,secr,g0,0.7678741280784485,0.03521344969155532,49,0.8,-4.015733990193948
secr,secr,sigma,79.55086824940928,2.582380719875196,49,80,-0.5614146882384041
acre,acre,g0,0.767869195637496,0.03519995461330301,49,0.8,-4.016350545313005
acre,acre,sigma,79.55141078576996,2.579305871245865,49,80,-0.5607365177875501
acre,acre,D,5.181411183593715,0.2647823932899598,49,5,3.6282236718743017
secr,secr,D,5.163622235242264,0.2585956625065028,50,5,3.272444704845281
secr,secr,g0,0.8205097251287896,0.036981581462240676,50,0.8,2.563715641098696
secr,secr,sigma,76.6579567972507,2.428524390642953,50,80,-4.177554003436619
acre,acre,g0,0.8205048600202903,0.03696620306924179,50,0.8,2.5631075025362855
acre,acre,sigma,76.65843710057615,2.4255960926048648,50,80,-4.176953624279811
acre,acre,D,5.163600345431577,0.2583135914589135,50,5,3.2720069086315458
